total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label
29911,18817,11094,6,,,
25214,11843,13371,5,,,
33503,11263,22240,9,,,
27825,17095,10730,17,,,
27854,309,27545,17,,,
26089,642,25447,15,,,
27400,15447,11953,13,,,
30881,19128,11753,4,,,
30786,30156,630,14,,,
33759,2634,31125,13,,,
31447,3905,27542,10,,,
27381,10831,16550,6,,,
28062,25278,2784,10,,,
33245,9578,23667,14,,,
29323,7651,21672,8,,,
28291,6765,21526,19,,,
22168,19726,2442,7,,,
33663,28580,5083,15,,,
33330,33161,169,15,,,
29188,9474,19714,18,,,
31485,25844,5641,21,,,
33781,19134,14647,19,,,
35700,15871,19829,21,,,
33265,30234,3031,14,,,
30045,27467,2578,12,,,
29325,8646,20679,11,,,
27893,16873,11020,23,,,
19589,17918,1671,24,,,
26063,6287,19776,16,,,
32911,27528,5383,10,,,
23853,17668,6185,9,,,
29106,6072,23034,12,,,
29032,4314,24718,14,,,
25899,13770,12129,16,,,
24973,7362,17611,9,,,
34254,291,33963,18,,,
32360,23670,8690,18,,,
29344,28315,1029,27,,,
26109,19683,6426,8,,,
28146,12381,15765,11,,,
29633,8628,21005,11,,,
19397,1799,17598,14,,,
28070,24915,3155,14,,,
32170,18444,13726,13,,,
33596,33083,513,20,,,
28006,21610,6396,15,,,
33856,13029,20827,10,,,
29763,13206,16557,12,,,
25382,13794,11588,9,,,
31430,9079,22351,11,,,
29846,21017,8829,12,,,
33624,32578,1046,6,,,
25412,13717,11695,17,,,
23605,20057,3548,5,,,
29090,8644,20446,10,,,
28650,20995,7655,11,,,
29836,22050,7786,17,,,
34087,10951,23136,9,,,
38383,31079,7304,18,,,
25924,902,25022,20,,,
29723,12580,17143,11,,,
30909,27188,3721,24,,,
30359,15880,14479,12,,,
33858,25796,8062,16,,,
25478,20585,4893,14,,,
27810,2867,24943,16,,,
35629,28732,6897,6,,,
36833,25050,11783,7,,,
29661,20103,9558,6,,,
23901,19270,4631,12,,,
26085,21719,4366,21,,,
35201,31825,3376,16,,,
35284,18084,17200,9,,,
29158,21106,8052,18,,,
35742,15833,19909,23,,,
27639,8018,19621,6,,,
33718,7285,26433,9,,,
29818,20704,9114,15,,,
33762,21311,12451,12,,,
19949,4239,15710,15,,,
27948,22977,4971,4,,,
31584,9245,22339,7,,,
27981,16734,11247,9,,,
24072,20071,4001,15,,,
34239,23865,10374,18,,,
34115,3066,31049,7,,,
28830,15522,13308,6,,,
33587,28538,5049,16,,,
24169,21592,2577,17,,,
31656,13955,17701,19,,,
29497,13468,16029,16,,,
31800,19123,12677,9,,,
29628,25262,4366,7,,,
31781,17400,14381,24,,,
27379,16324,11055,13,,,
33391,10714,22677,5,,,
29757,11435,18322,14,,,
31252,5851,25401,26,,,
31696,17156,14540,11,,,
37690,4022,33668,17,,,
27398,13232,14166,9,,,
35456,14952,20504,25,,,
36330,12485,23845,10,,,
27870,19429,8441,12,,,
26006,4179,21827,17,,,
35955,15089,20866,8,,,
26896,5188,21708,23,,,
27858,12433,15425,16,,,
33744,12148,21596,25,,,
23857,22283,1574,11,,,
29745,2953,26792,18,,,
28164,14504,13660,16,,,
28344,12349,15995,26,,,
34281,12263,22018,17,,,
29094,9982,19112,17,,,
24198,18068,6130,10,,,
36160,6262,29898,24,,,
27845,10291,17554,21,,,
29616,26570,3046,15,,,
31384,5260,26124,18,,,
29631,21842,7789,14,,,
27700,14753,12947,19,,,
29168,3625,25543,15,,,
32831,23570,9261,19,,,
25561,25291,270,13,,,
32757,4945,27812,19,,,
25330,13907,11423,23,,,
27814,14589,13225,10,,,
30965,18067,12898,25,,,
28092,14359,13733,13,,,
31390,17502,13888,11,,,
27938,2444,25494,18,,,
30153,25245,4908,4,,,
31371,23256,8115,15,,,
19459,289,19170,24,,,
25864,14419,11445,13,,,
31609,19390,12219,6,,,
29502,4678,24824,18,,,
29843,10954,18889,11,,,
29812,22506,7306,13,,,
25888,15263,10625,18,,,
25326,843,24483,14,,,
33137,23664,9473,10,,,
35082,12685,22397,17,,,
36808,25484,11324,19,,,
30280,1188,29092,8,,,
27506,27113,393,17,,,
35501,26239,9262,20,,,
29711,16352,13359,9,,,
29836,13435,16401,5,,,
33979,18596,15383,11,,,
33394,26629,6765,15,,,
29931,12075,17856,7,,,
29848,24552,5296,10,,,
29458,2182,27276,12,,,
25630,11850,13780,19,,,
27554,8243,19311,11,,,
21428,11578,9850,15,,,
37150,26414,10736,12,,,
31840,6179,25661,9,,,
27479,19004,8475,20,,,
35588,4690,30898,15,,,
28952,28274,678,16,,,
33749,15105,18644,24,,,
35320,19503,15817,15,,,
25762,2614,23148,14,,,
29848,5400,24448,21,,,
27325,6059,21266,21,,,
27514,1542,25972,17,,,
31749,10796,20953,4,,,
31766,10229,21537,8,,,
25573,12130,13443,12,,,
31741,29982,1759,8,,,
23831,15162,8669,14,,,
25272,9313,15959,7,,,
31427,8022,23405,5,,,
31018,23772,7246,11,,,
31355,6688,24667,16,,,
29826,11131,18695,6,,,
28013,6298,21715,14,,,
35092,12822,22270,11,,,
31334,14186,17148,17,,,
27858,691,27167,14,,,
32869,25639,7230,9,,,
28067,12612,15455,18,,,
28057,11859,16198,15,,,
27707,24465,3242,16,,,
25585,3688,21897,11,,,
33627,31565,2062,11,,,
33061,1706,31355,11,,,
37246,12075,25171,10,,,
32195,24870,7325,20,,,
35405,29055,6350,11,,,
27754,18981,8773,8,,,
33515,20688,12827,15,,,
23830,3964,19866,13,,,
31612,13020,18592,9,,,
19601,4582,15019,13,,,
23746,9678,14068,17,,,
33038,16042,16996,8,,,
35787,24355,11432,13,,,
29294,2759,26535,15,,,
37605,28144,9461,16,,,
36161,29915,6246,24,,,
26435,18708,7727,15,,,
29797,19837,9960,11,,,
33860,16408,17452,14,,,
27025,22710,4315,21,,,
31747,30549,1198,11,,,
30127,14344,15783,23,,,
33865,28922,4943,4,,,
33668,3530,30138,9,,,
36756,3814,32942,8,,,
29477,24934,4543,14,,,
33491,242,33249,5,,,
31778,29753,2025,10,,,
33101,28105,4996,33,,,
27355,11890,15465,12,,,
23038,9845,13193,3,,,
34288,33379,909,13,,,
21928,10688,11240,16,,,
32105,22735,9370,8,,,
24375,757,23618,12,,,
27867,24891,2976,12,,,
29918,17127,12791,15,,,
40383,38176,2207,9,,,
29424,13767,15657,19,,,
27712,26691,1021,19,,,
28468,22189,6279,10,,,
31621,15111,16510,23,,,
29199,717,28482,22,,,
30934,6811,24123,8,,,
23643,7609,16034,9,,,
31928,15992,15936,10,,,
33138,21957,11181,19,,,
28149,18589,9560,12,,,
29622,28495,1127,9,,,
28126,5471,22655,12,,,
19653,17620,2033,4,,,
25899,13023,12876,12,,,
27757,2855,24902,16,,,
39296,9909,29387,19,,,
35660,24153,11507,17,,,
25633,14547,11086,13,,,
31656,29448,2208,7,,,
29344,25177,4167,22,,,
29430,11490,17940,4,,,
31304,25936,5368,14,,,
33759,30112,3647,8,,,
31341,21643,9698,4,,,
35442,25493,9949,19,,,
29863,16244,13619,17,,,
27194,8853,18341,18,,,
29927,16366,13561,25,,,
29481,7913,21568,12,,,
26030,20010,6020,12,,,
31814,23292,8522,13,,,
29825,7310,22515,6,,,
31857,20618,11239,7,,,
27318,27097,221,23,,,
29470,21109,8361,9,,,
40132,26944,13188,23,,,
30012,24786,5226,12,,,
32963,6110,26853,11,,,
30110,4148,25962,5,,,
30238,23504,6734,19,,,
31079,19190,11889,12,,,
27931,9616,18315,12,,,
26998,15840,11158,11,,,
31951,17161,14790,17,,,
19492,9760,9732,13,,,
29727,562,29165,11,,,
31537,10531,21006,10,,,
31051,16737,14314,10,,,
26026,7484,18542,11,,,
21603,14320,7283,8,,,
35943,17716,18227,11,,,
26725,8487,18238,12,,,
27493,25764,1729,18,,,
33792,7186,26606,30,,,
32871,27633,5238,23,,,
34027,26412,7615,14,,,
27582,13709,13873,11,,,
35374,24460,10914,22,,,
26324,26094,230,8,,,
31002,27615,3387,9,,,
29258,20738,8520,12,,,
29512,8457,21055,17,,,
29484,18902,10582,12,,,
27697,659,27038,14,,,
27054,26306,748,10,,,
35362,30833,4529,24,,,
28201,16282,11919,12,,,
29142,4789,24353,22,,,
19557,2910,16647,23,,,
23488,1490,21998,9,,,
33495,10234,23261,14,,,
27971,13700,14271,18,,,
36921,30577,6344,20,,,
27948,15189,12759,19,,,
25687,18928,6759,10,,,
32985,10229,22756,14,,,
25679,7068,18611,13,,,
19820,12254,7566,14,,,
31912,6638,25274,7,,,
35404,18987,16417,17,,,
37396,6419,30977,10,,,
37463,5137,32326,13,,,
33130,3590,29540,4,,,
33370,19990,13380,27,,,
21652,660,20992,5,,,
32768,13648,19120,14,,,
27707,26428,1279,13,,,
34727,1642,33085,13,,,
29383,28789,594,10,,,
31421,20367,11054,9,,,
33200,1775,31425,19,,,
33558,20286,13272,7,,,
34459,25698,8761,6,,,
33926,7550,26376,23,,,
37490,22265,15225,4,,,
31530,8989,22541,12,,,
35668,19564,16104,19,,,
29692,16522,13170,6,,,
27237,26134,1103,22,,,
29706,6042,23664,10,,,
27408,9076,18332,14,,,
30101,16289,13812,17,,,
32117,28067,4050,10,,,
31999,24015,7984,9,,,
34157,32906,1251,13,,,
23309,4820,18489,10,,,
34181,15437,18744,16,,,
19513,12430,7083,5,,,
27156,18861,8295,23,,,
27814,7022,20792,17,,,
22780,685,22095,9,,,
25083,19480,5603,5,,,
30295,22240,8055,15,,,
25878,19785,6093,22,,,
24807,8197,16610,10,,,
34069,1761,32308,19,,,
25891,7456,18435,24,,,
25919,25036,883,26,,,
31458,18981,12477,16,,,
23917,14085,9832,15,,,
29075,3209,25866,8,,,
21421,9405,12016,24,,,
31725,9048,22677,15,,,
24922,815,24107,10,,,
33755,20541,13214,4,,,
31657,19824,11833,6,,,
28274,11905,16369,10,,,
27114,25637,1477,6,,,
37959,17213,20746,18,,,
33371,26737,6634,8,,,
35693,27783,7910,19,,,
29893,14313,15580,5,,,
31984,3961,28023,7,,,
27540,3878,23662,12,,,
33738,16620,17118,19,,,
31355,23568,7787,13,,,
33814,13997,19817,13,,,
33235,11024,22211,15,,,
38162,13683,24479,20,,,
29868,19487,10381,7,,,
31657,23213,8444,19,,,
27568,5777,21791,15,,,
35715,28197,7518,12,,,
21974,1307,20667,11,,,
26025,16846,9179,23,,,
26154,4946,21208,11,,,
21202,5382,15820,10,,,
34382,9690,24692,11,,,
27371,23674,3697,13,,,
24011,4668,19343,14,,,
25901,25745,156,16,,,
31387,2258,29129,13,,,
28047,5967,22080,15,,,
27642,25083,2559,7,,,
26060,1569,24491,12,,,
30002,17140,12862,6,,,
33434,21310,12124,10,,,
19348,8100,11248,14,,,
33103,20473,12630,10,,,
27502,27286,216,6,,,
29044,26258,2786,10,,,
32944,15191,17753,10,,,
23835,19974,3861,18,,,
37191,32598,4593,9,,,
29705,11491,18214,12,,,
29676,10057,19619,23,,,
31950,31894,56,12,,,
27309,20182,7127,18,,,
29143,4025,25118,17,,,
29252,23641,5611,11,,,
37714,10931,26783,12,,,
37247,33191,4056,10,,,
25957,20104,5853,6,,,
28041,3674,24367,14,,,
29631,10240,19391,19,,,
23998,13200,10798,13,,,
37814,29454,8360,10,,,
35461,9498,25963,17,,,
23604,1905,21699,10,,,
28584,6393,22191,11,,,
34820,9547,25273,12,,,
29816,9780,20036,14,,,
33633,5577,28056,12,,,
27429,20300,7129,17,,,
29865,2414,27451,15,,,
33923,433,33490,11,,,
27326,2693,24633,13,,,
27254,21918,5336,7,,,
29701,20448,9253,13,,,
27846,14830,13016,17,,,
34143,15227,18916,12,,,
25694,577,25117,24,,,
30803,20563,10240,24,,,
23187,6203,16984,11,,,
37311,19891,17420,12,,,
32004,16258,15746,6,,,
35380,33672,1708,16,,,
25286,23449,1837,9,,,
29416,13769,15647,11,,,
27694,10446,17248,15,,,
34904,33580,1324,20,,,
31798,9010,22788,16,,,
29519,11321,18198,14,,,
35440,25629,9811,10,,,
31203,29555,1648,15,,,
29648,172,29476,14,,,
25782,4947,20835,6,,,
21416,16819,4597,4,,,
27438,2375,25063,19,,,
29618,519,29099,8,,,
28984,10791,18193,20,,,
25796,1629,24167,11,,,
31165,27130,4035,14,,,
29719,26375,3344,12,,,
25373,17013,8360,22,,,
29675,3151,26524,15,,,
23653,18236,5417,8,,,
37059,6017,31042,15,,,
27101,14485,12616,24,,,
29263,13991,15272,12,,,
33155,32223,932,16,,,
27796,20572,7224,8,,,
19844,4116,15728,4,,,
30331,7042,23289,18,,,
31352,8069,23283,17,,,
31838,10830,21008,18,,,
28838,28376,462,16,,,
36039,35629,410,10,,,
23982,23799,183,21,,,
25891,16261,9630,5,,,
34029,24719,9310,10,,,
36910,30096,6814,18,,,
23400,23097,303,11,,,
34945,17139,17806,8,,,
31374,21023,10351,15,,,
23299,17089,6210,12,,,
33783,12257,21526,9,,,
36046,18416,17630,14,,,
30975,29053,1922,19,,,
23502,13158,10344,11,,,
29919,19543,10376,16,,,
33403,32763,640,9,,,
29282,28817,465,29,,,
22088,15815,6273,10,,,
31357,22110,9247,22,,,
37338,11159,26179,5,,,
27679,21490,6189,15,,,
24859,2995,21864,10,,,
21881,10476,11405,13,,,
35581,18318,17263,10,,,
25702,5120,20582,13,,,
29718,2372,27346,5,,,
29524,26047,3477,11,,,
27386,25707,1679,12,,,
34021,29923,4098,19,,,
31964,15500,16464,14,,,
34063,26900,7163,21,,,
33630,16198,17432,9,,,
29294,28449,845,16,,,
30073,3765,26308,10,,,
28712,21666,7046,20,,,
30089,5284,24805,17,,,
26510,19840,6670,14,,,
27713,3259,24454,12,,,
22381,2075,20306,14,,,
33065,8174,24891,6,,,
27755,26976,779,9,,,
25569,3840,21729,18,,,
28255,16460,11795,16,,,
25382,22053,3329,10,,,
27576,20997,6579,12,,,
25184,13646,11538,7,,,
26301,22443,3858,9,,,
33226,16203,17023,17,,,
33948,7700,26248,13,,,
25470,3401,22069,18,,,
30883,24719,6164,11,,,
35208,8859,26349,15,,,
34905,27767,7138,10,,,
27726,22999,4727,11,,,
29472,18070,11402,9,,,
23596,8945,14651,31,,,
21993,13378,8615,16,,,
30062,27822,2240,12,,,
32041,12555,19486,16,,,
32381,14155,18226,18,,,
29479,12156,17323,16,,,
24194,11029,13165,27,,,
20966,3279,17687,5,,,
31954,21361,10593,9,,,
28056,11221,16835,10,,,
21059,11258,9801,12,,,
29558,5944,23614,10,,,
31080,26268,4812,16,,,
26094,12594,13500,10,,,
27729,19378,8351,10,,,
33053,8942,24111,10,,,
31085,3455,27630,9,,,
20199,5889,14310,14,,,
29715,14958,14757,16,,,
27152,3109,24043,20,,,
31398,6097,25301,9,,,
29061,18664,10397,18,,,
30893,9405,21488,18,,,
27509,18150,9359,14,,,
25830,14874,10956,9,,,
26033,22955,3078,10,,,
32194,15604,16590,15,,,
30010,20771,9239,5,,,
26238,2846,23392,14,,,
31559,20096,11463,7,,,
29388,9261,20127,7,,,
33679,3504,30175,14,,,
25950,18315,7635,6,,,
36138,25099,11039,12,,,
29693,19712,9981,6,,,
21749,21346,403,11,,,
27494,18415,9079,17,,,
31661,1572,30089,19,,,
27945,14122,13823,6,,,
32247,31624,623,11,,,
38724,17087,21637,17,,,
25628,2937,22691,12,,,
23336,3729,19607,9,,,
29497,940,28557,21,,,
27380,25052,2328,16,,,
34073,22604,11469,15,,,
26115,14658,11457,15,,,
35491,5768,29723,13,,,
37406,27613,9793,12,,,
27940,24875,3065,21,,,
29994,29058,936,22,,,
31649,14742,16907,8,,,
35994,31246,4748,8,,,
35744,31104,4640,14,,,
33532,31428,2104,17,,,
25069,572,24497,12,,,
28530,13698,14832,15,,,
29288,11902,17386,13,,,
21608,16924,4684,8,,,
33845,18500,15345,13,,,
30773,23054,7719,12,,,
33198,12932,20266,10,,,
31164,26255,4909,10,,,
32028,27935,4093,19,,,
27640,18866,8774,16,,,
28206,10426,17780,11,,,
29708,23356,6352,5,,,
31411,19063,12348,5,,,
31540,23963,7577,11,,,
35429,1110,34319,17,,,
29374,7729,21645,27,,,
31910,28866,3044,13,,,
29394,9535,19859,21,,,
31353,19603,11750,18,,,
29188,8405,20783,14,,,
29855,19528,10327,13,,,
27458,18615,8843,19,,,
37537,13600,23937,27,,,
26079,24565,1514,14,,,
29691,10828,18863,14,,,
31233,15651,15582,14,,,
29340,11896,17444,17,,,
31273,20305,10968,10,,,
31512,30738,774,20,,,
32886,1777,31109,16,,,
29151,12334,16817,19,,,
28094,16590,11504,12,,,
25519,10793,14726,15,,,
33347,16640,16707,22,,,
32122,20155,11967,14,,,
33174,12305,20869,10,,,
33787,24781,9006,22,,,
32462,8575,23887,5,,,
26203,22196,4007,9,,,
17541,15655,1886,10,,,
23441,21046,2395,14,,,
25746,20584,5162,6,,,
31476,10872,20604,7,,,
30991,18480,12511,18,,,
29298,9370,19928,5,,,
33662,16246,17416,20,,,
35932,27389,8543,9,,,
32007,8224,23783,22,,,
25235,4861,20374,12,,,
29674,29240,434,22,,,
25515,14956,10559,17,,,
31327,26260,5067,19,,,
27570,22551,5019,11,,,
28688,2312,26376,12,,,
29791,3211,26580,7,,,
28048,16098,11950,21,,,
33473,15435,18038,5,,,
27152,14006,13146,6,,,
28179,24214,3965,9,,,
31660,25166,6494,17,,,
32206,8499,23707,10,,,
29679,25947,3732,12,,,
31432,26001,5431,12,,,
38078,8246,29832,10,,,
25382,14992,10390,9,,,
29564,5585,23979,15,,,
29267,25010,4257,22,,,
37223,5519,31704,13,,,
27465,2058,25407,9,,,
27594,17492,10102,13,,,
29155,15102,14053,20,,,
33097,2906,30191,19,,,
25360,16396,8964,8,,,
31630,3898,27732,13,,,
21696,13791,7905,20,,,
34174,10778,23396,9,,,
37107,24213,12894,14,,,
34344,26532,7812,13,,,
29555,2013,27542,11,,,
35372,28776,6596,16,,,
29590,14477,15113,32,,,
21691,19977,1714,14,,,
30072,2977,27095,18,,,
31408,8756,22652,9,,,
29519,3245,26274,14,,,
31347,9838,21509,6,,,
31399,15917,15482,15,,,
29753,25568,4185,6,,,
33312,4404,28908,14,,,
31433,27468,3965,11,,,
35501,23665,11836,9,,,
23844,7594,16250,5,,,
32220,27562,4658,17,,,
38925,16551,22374,8,,,
31606,2735,28871,14,,,
21805,11003,10802,4,,,
37978,35888,2090,16,,,
35531,2396,33135,6,,,
34091,5523,28568,9,,,
31538,30844,694,26,,,
23525,12211,11314,26,,,
29455,24350,5105,3,,,
32938,19023,13915,17,,,
35530,5798,29732,18,,,
30929,26711,4218,8,,,
37330,11739,25591,13,,,
24114,14328,9786,17,,,
27789,27453,336,18,,,
32010,7800,24210,10,,,
33397,18976,14421,10,,,
29854,25781,4073,5,,,
31707,17606,14101,8,,,
30877,28332,2545,17,,,
32879,11733,21146,6,,,
33385,19716,13669,10,,,
33266,16333,16933,10,,,
28737,4976,23761,7,,,
29820,4675,25145,12,,,
28975,28587,388,9,,,
35698,16792,18906,10,,,
26313,15601,10712,23,,,
24067,5789,18278,12,,,
31043,26216,4827,10,,,
28332,22632,5700,11,,,
31459,29022,2437,12,,,
31579,29564,2015,7,,,
27111,15592,11519,16,,,
31453,15207,16246,18,,,
33633,2650,30983,17,,,
28088,17901,10187,13,,,
23738,13290,10448,9,,,
33806,14714,19092,9,,,
27796,6037,21759,6,,,
25212,14172,11040,9,,,
30476,25409,5067,12,,,
25213,13371,11842,3,,,
27361,21382,5979,20,,,
33727,24859,8868,11,,,
25707,12959,12748,15,,,
26952,8927,18025,18,,,
29511,19614,9897,12,,,
23645,12265,11380,31,,,
25122,9849,15273,13,,,
32267,31762,505,16,,,
26003,21230,4773,24,,,
36361,30070,6291,12,,,
31045,1932,29113,15,,,
26003,22289,3714,20,,,
33788,24676,9112,18,,,
30950,9642,21308,14,,,
31584,16048,15536,14,,,
27321,22159,5162,10,,,
25972,8185,17787,17,,,
27832,6730,21102,17,,,
32215,12059,20156,18,,,
32496,23687,8809,10,,,
33348,12862,20486,12,,,
32083,17896,14187,17,,,
38390,31736,6654,14,,,
28875,18576,10299,17,,,
32148,7630,24518,6,,,
26168,3287,22881,14,,,
27730,3611,24119,14,,,
25367,13916,11451,11,,,
29924,3641,26283,9,,,
24938,12889,12049,19,,,
26865,24375,2490,13,,,
37697,12279,25418,11,,,
31671,9538,22133,10,,,
34039,21568,12471,12,,,
30411,11412,18999,18,,,
33833,8529,25304,25,,,
36957,35513,1444,15,,,
27532,20088,7444,15,,,
21657,12389,9268,14,,,
25841,19269,6572,15,,,
21678,16671,5007,14,,,
29826,24007,5819,16,,,
31683,24074,7609,23,,,
31929,1451,30478,7,,,
29602,12639,16963,11,,,
28943,15735,13208,5,,,
35326,26579,8747,13,,,
34547,30882,3665,10,,,
27319,23647,3672,6,,,
27268,17937,9331,8,,,
26046,25555,491,13,,,
27052,13257,13795,23,,,
31800,17393,14407,3,,,
19199,8447,10752,13,,,
24047,3872,20175,15,,,
31798,5526,26272,11,,,
30021,11102,18919,17,,,
35011,17375,17636,11,,,
30290,12679,17611,15,,,
23231,21013,2218,18,,,
31157,13300,17857,5,,,
29829,19125,10704,13,,,
19535,18429,1106,21,,,
31978,608,31370,5,,,
27501,15136,12365,16,,,
27274,22761,4513,16,,,
27352,5515,21837,14,,,
29419,23085,6334,21,,,
31316,5627,25689,14,,,
35319,23091,12228,6,,,
29981,754,29227,10,,,
30746,28027,2719,13,,,
24088,1918,22170,8,,,
29957,139,29818,10,,,
25879,1224,24655,10,,,
23098,8723,14375,25,,,
29194,15292,13902,10,,,
25283,18525,6758,14,,,
29634,20372,9262,14,,,
25543,5933,19610,26,,,
33498,25090,8408,18,,,
26047,10060,15987,18,,,
25753,22400,3353,10,,,
23409,23329,80,9,,,
29843,10277,19566,29,,,
32053,19166,12887,9,,,
27241,6996,20245,4,,,
32104,19582,12522,14,,,
31764,19474,12290,16,,,
25833,19716,6117,16,,,
29591,20939,8652,13,,,
22068,3325,18743,12,,,
25794,15045,10749,13,,,
23153,3274,19879,6,,,
31387,10858,20529,26,,,
30144,13068,17076,16,,,
23751,3052,20699,23,,,
29215,4180,25035,28,,,
29575,10642,18933,11,,,
27274,17573,9701,16,,,
29780,24953,4827,23,,,
23452,1588,21864,6,,,
25889,1978,23911,11,,,
37435,33162,4273,7,,,
27456,6897,20559,14,,,
29893,28962,931,14,,,
31826,18645,13181,10,,,
22123,1591,20532,14,,,
27994,9127,18867,12,,,
33476,18568,14908,12,,,
27492,13597,13895,11,,,
31133,2294,28839,11,,,
25898,11345,14553,10,,,
19416,6060,13356,7,,,
23287,11487,11800,5,,,
29877,27063,2814,14,,,
33842,13139,20703,27,,,
27323,4969,22354,5,,,
26443,18059,8384,20,,,
29530,27398,2132,19,,,
29650,12627,17023,22,,,
29292,10796,18496,9,,,
27146,22614,4532,9,,,
29647,25148,4499,23,,,
34057,31970,2087,11,,,
35283,1514,33769,19,,,
21759,3924,17835,20,,,
27634,14051,13583,16,,,
37424,30715,6709,23,,,
33584,12569,21015,7,,,
32076,29598,2478,7,,,
33197,30799,2398,10,,,
28029,9143,18886,13,,,
35883,22726,13157,13,,,
32186,26559,5627,17,,,
29763,23665,6098,10,,,
27869,23224,4645,13,,,
35557,9654,25903,12,,,
29986,13636,16350,6,,,
33860,15342,18518,10,,,
34003,26571,7432,14,,,
27211,24920,2291,7,,,
32019,21331,10688,14,,,
25706,17281,8425,17,,,
25868,9061,16807,7,,,
35200,34414,786,7,,,
27578,27063,515,13,,,
29364,3415,25949,6,,,
29569,4153,25416,8,,,
27408,13317,14091,17,,,
29484,2015,27469,17,,,
26080,5209,20871,11,,,
33609,21172,12437,9,,,
35292,24038,11254,13,,,
34011,22264,11747,10,,,
29311,11658,17653,22,,,
35465,28972,6493,10,,,
29932,1796,28136,10,,,
28836,10009,18827,14,,,
34544,23281,11263,13,,,
33918,224,33694,22,,,
23186,14087,9099,8,,,
33380,10507,22873,15,,,
31945,26807,5138,7,,,
31603,22272,9331,14,,,
33175,13069,20106,12,,,
29271,24708,4563,20,,,
31246,4933,26313,13,,,
25483,12361,13122,17,,,
25230,21445,3785,16,,,
32191,11289,20902,18,,,
27053,17046,10007,15,,,
31060,5101,25959,11,,,
33361,29849,3512,15,,,
31471,23397,8074,16,,,
25464,10095,15369,7,,,
27691,11449,16242,19,,,
35378,25787,9591,6,,,
29076,13551,15525,10,,,
34024,10999,23025,13,,,
38211,6618,31593,23,,,
37616,7785,29831,12,,,
31622,219,31403,7,,,
33419,25100,8319,10,,,
28250,1301,26949,15,,,
33608,7127,26481,18,,,
27948,14940,13008,19,,,
37853,5886,31967,21,,,
27943,8929,19014,11,,,
35088,1569,33519,22,,,
32146,22848,9298,5,,,
34042,3535,30507,11,,,
25133,13586,11547,18,,,
32155,9299,22856,25,,,
31527,16899,14628,12,,,
33536,29788,3748,11,,,
34023,18700,15323,8,,,
29795,29299,496,20,,,
31902,14539,17363,15,,,
33221,23292,9929,10,,,
25609,10148,15461,19,,,
35240,19916,15324,16,,,
24974,8680,16294,9,,,
33088,3141,29947,11,,,
31574,28018,3556,17,,,
31598,24316,7282,14,,,
29221,25276,3945,12,,,
23654,4166,19488,17,,,
27328,18485,8843,6,,,
29994,16158,13836,12,,,
27976,9578,18398,19,,,
29140,27163,1977,7,,,
33483,8079,25404,14,,,
31230,15275,15955,4,,,
27343,14819,12524,16,,,
27229,17929,9300,18,,,
40633,19566,21067,12,,,
31699,16869,14830,9,,,
31986,8505,23481,14,,,
27816,7073,20743,11,,,
24147,10341,13806,14,,,
25719,19084,6635,22,,,
27446,9088,18358,6,,,
34474,28011,6463,15,,,
37607,18652,18955,11,,,
29849,3502,26347,19,,,
29388,13641,15747,8,,,
28302,19859,8443,9,,,
22878,13664,9214,10,,,
29704,4026,25678,17,,,
31506,10902,20604,14,,,
29948,20792,9156,8,,,
23081,12395,10686,17,,,
22843,5421,17422,14,,,
21818,18327,3491,15,,,
33693,23361,10332,10,,,
35557,16622,18935,25,,,
29993,26610,3383,15,,,
27227,21459,5768,18,,,
37403,36986,417,16,,,
28991,8650,20341,5,,,
29405,17200,12205,18,,,
28347,844,27503,19,,,
29222,8747,20475,8,,,
29410,5094,24316,6,,,
29482,21037,8445,14,,,
21817,8603,13214,12,,,
35370,31177,4193,9,,,
24962,15138,9824,6,,,
30128,10212,19916,12,,,
23941,1596,22345,11,,,
25507,4402,21105,10,,,
37362,1177,36185,16,,,
31615,18273,13342,17,,,
38399,17273,21126,12,,,
34170,6504,27666,6,,,
35998,26838,9160,10,,,
31342,26614,4728,17,,,
33153,29257,3896,12,,,
27919,438,27481,11,,,
36197,28137,8060,13,,,
33470,17593,15877,4,,,
25813,7017,18796,11,,,
27990,12212,15778,19,,,
19399,3922,15477,11,,,
33458,19513,13945,6,,,
27490,10144,17346,12,,,
31766,8893,22873,11,,,
31947,12797,19150,21,,,
24243,11011,13232,13,,,
31317,12828,18489,11,,,
27525,26077,1448,7,,,
25314,7502,17812,5,,,
29918,3132,26786,19,,,
27421,2647,24774,16,,,
29772,29712,60,5,,,
25344,24255,1089,5,,,
26914,20931,5983,9,,,
33678,4867,28811,11,,,
32902,25594,7308,11,,,
35705,231,35474,7,,,
37625,29711,7914,15,,,
33933,23706,10227,10,,,
31557,15385,16172,15,,,
27926,10892,17034,10,,,
36361,35020,1341,12,,,
21452,14261,7191,12,,,
27214,8069,19145,12,,,
19816,17727,2089,21,,,
30102,4979,25123,17,,,
27498,23812,3686,15,,,
30412,27813,2599,15,,,
25967,20645,5322,10,,,
27704,23216,4488,14,,,
33061,7047,26014,8,,,
30761,4081,26680,15,,,
30380,5520,24860,12,,,
36403,15767,20636,10,,,
34689,22057,12632,12,,,
34437,31848,2589,21,,,
27700,8774,18926,9,,,
29052,7882,21170,13,,,
31869,15867,16002,11,,,
37593,4299,33294,14,,,
